[0.011s][info][gc] Using The Z Garbage Collector
[426.070s][info][gc] GC(286) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[427.070s][info][gc] GC(287) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[428.064s][info][gc] GC(288) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[429.064s][info][gc] GC(289) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[430.064s][info][gc] GC(290) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[431.064s][info][gc] GC(291) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[431.971s][info][gc] GC(292) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[432.971s][info][gc] GC(293) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[433.970s][info][gc] GC(294) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[434.971s][info][gc] GC(295) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[435.971s][info][gc] GC(296) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[436.975s][info][gc] GC(297) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[438.371s][info][gc] GC(298) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[439.669s][info][gc] GC(299) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[440.762s][info][gc] GC(300) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[441.871s][info][gc] GC(301) Garbage Collection (Proactive) 12M(60%)->12M(60%)
[456.466s][info][gc] GC(302) Garbage Collection (Proactive) 14M(70%)->10M(50%)
[457.564s][info][gc] GC(303) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[458.673s][info][gc] GC(304) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[459.673s][info][gc] GC(305) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[460.673s][info][gc] GC(306) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[461.673s][info][gc] GC(307) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[462.564s][info][gc] GC(308) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[463.470s][info][gc] GC(309) Garbage Collection (Proactive) 12M(60%)->10M(50%)
